auc_20bin_mean,completed,condition,cov_scale,episode_score_rows,final_20pct_mean,final_bin_mean,game,last_vc_raw,last_vc_weighted,last_vicreg_cov,last_vicreg_cov_scale,last_vicreg_var,latest_episode_score,latest_raw_frames,logdir,seed
7.124639656938044,True,hts_cov_sweep,0.001,284,9.122252747252746,8.615384615384615,breakout,,,,,,14.0,438664.0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official_hts_vc_cov_sweep/breakout_seed0/cov_0p001/seed_0,0
5.586839510921319,True,hts_cov_sweep,0.003,272,9.349893162393162,11.11111111111111,breakout,,,,,,10.0,438716.0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official_hts_vc_cov_sweep/breakout_seed0/cov_0p003/seed_0,0
3.9772751441425376,True,hts_cov_sweep,0.01,280,7.077403846153846,6.384615384615385,breakout,,,,,,5.0,439948.0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official_hts_vc_cov_sweep/breakout_seed0/cov_0p01/seed_0,0
5.354264863009645,True,hts_cov_sweep,0.03,298,6.653273809523809,6.266666666666667,breakout,,,,,,21.0,439000.0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official_hts_vc_cov_sweep/breakout_seed0/cov_0p03/seed_0,0
6.017832085614526,True,hts_cov_sweep,0.1,292,9.201923076923077,9.5,breakout,,,,,,6.0,438624.0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official_hts_vc_cov_sweep/breakout_seed0/cov_0p1/seed_0,0
4.741575989417014,True,hts_cov_sweep,0.3,381,7.268200549450549,8.76923076923077,breakout,,,,,,6.0,439900.0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official_hts_vc_cov_sweep/breakout_seed0/cov_0p3/seed_0,0
4.955623959373959,True,hts_cov_sweep,1.0,268,8.375,10.0,breakout,,,,,,11.0,439064.0,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official_hts_vc_cov_sweep/breakout_seed0/cov_1p0/seed_0,0
