method,game,seed,logdir,wandb_url,source,run_completed,is_partial,x_axis_frames,x_axis_agent_actions,score_type,score_mean,score_std,score_min,score_max,eval_episodes,timestamp,frames_target,agent_actions_target,protocol_compatible_with_reference,notes
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,16996.0,4249.0,episode_score,1.0,,1.0,1.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,17964.0,4491.0,episode_score,3.0,,3.0,3.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,18708.0,4677.0,episode_score,1.0,,1.0,1.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,19332.0,4833.0,episode_score,1.0,,1.0,1.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,20428.0,5107.0,episode_score,4.0,,4.0,4.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,21036.0,5259.0,episode_score,0.0,,0.0,0.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,21672.0,5418.0,episode_score,1.0,,1.0,1.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,22316.0,5579.0,episode_score,1.0,,1.0,1.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,23172.0,5793.0,episode_score,2.0,,2.0,2.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,24204.0,6051.0,episode_score,3.0,,3.0,3.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,24740.0,6185.0,episode_score,0.0,,0.0,0.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,25584.0,6396.0,episode_score,2.0,,2.0,2.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,26228.0,6557.0,episode_score,1.0,,1.0,1.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,26744.0,6686.0,episode_score,0.0,,0.0,0.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,27492.0,6873.0,episode_score,1.0,,1.0,1.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,28272.0,7068.0,episode_score,1.0,,1.0,1.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,28960.0,7240.0,episode_score,1.0,,1.0,1.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
dreamerv3_official_reference_v16,breakout,0,,,v16_official_reference_read_only,,,30040.0,7510.0,episode_score,7.0,,7.0,7.0,1,,440000,110000,true,V16 read-only official DreamerV3 reference; single episode score
