condition,smoke_stage,run_id,task,model_size,method,seed,peak_memory_mb,gpu_peak_allocated_mb,process_peak_rss_mb,startup_wall_clock_seconds,training_wall_clock_seconds,eval_wall_clock_seconds,checkpoint_wall_clock_seconds,total_wall_clock_seconds,steady_state_updates_per_second,steady_state_agent_actions_per_second,relative_memory_vs_anchor,relative_updates_per_second_vs_anchor,relative_agent_actions_per_second_vs_anchor
gate_c_v9_size1m,gate_c_v9_targeted,gate_c_v9_size1m_breakout_size1m_dreamer_anchor_seed0,breakout,size1m,dreamer_anchor,0,1334.0,1334.0,2643.4765625,0.0,780.4984710216522,757.3545606136322,0.0,1537.8530316352844,0.6483036402847262,3.9846330460187716,1.0,1.0,1.0
gate_c_v9_size1m,gate_c_v9_targeted,gate_c_v9_size1m_breakout_size1m_hts_full_seed0,breakout,size1m,hts_full,0,1348.0,1348.0,3212.13671875,0.0,604.1343080997467,553.2402894496918,0.0,1157.3745975494385,0.8375621003739717,5.147861921270854,1.0104947526236883,1.291928732663179,1.291928732663179
gate_c_v9_size1m,gate_c_v9_targeted,gate_c_v9_size1m_breakout_size1m_larger_flat_param_seed0,breakout,size1m,larger_flat_param,0,1340.0,1340.0,2870.18359375,0.0,491.1909008026123,448.66251373291016,0.0,939.8534145355225,1.0301493760841038,6.331550513086093,1.0044977511244377,1.5889921204694704,1.5889921204694704
gate_c_v9_size1m,gate_c_v9_targeted,gate_c_v9_size1m_breakout_size1m_dense_multistride_no_sparse_seed0,breakout,size1m,dense_multistride_no_sparse,0,1348.0,1348.0,3187.77734375,0.0,577.8170781135559,535.8853254318237,0.0,1113.7024035453796,0.8757096651625067,5.382326202876276,1.0104947526236883,1.350770859126916,1.3507708591269159
gate_c_v9_size12m,gate_c_v9_targeted,gate_c_v9_size12m_breakout_size12m_dreamer_anchor_seed0,breakout,size12m,dreamer_anchor,0,3382.0,3382.0,2767.9609375,0.0,475.0198903083801,453.9312813282013,0.0,928.9511716365814,0.2778831006724926,3.3893317582023723,1.0,1.0,1.0
gate_c_v9_size12m,gate_c_v9_targeted,gate_c_v9_size12m_breakout_size12m_hts_full_seed0,breakout,size12m,hts_full,0,3398.0,3398.0,3363.18359375,0.0,361.3071177005768,337.90403509140015,0.0,699.2111527919769,0.36534015947449816,4.4560428541965305,1.0047309284447072,1.3147260793850168,1.3147260793850166
gate_c_v9_size12m,gate_c_v9_targeted,gate_c_v9_size12m_breakout_size12m_larger_flat_param_seed0,breakout,size12m,larger_flat_param,0,3390.0,3390.0,3142.453125,0.0,304.56697821617126,265.92667412757874,0.0,570.49365234375,0.43340220523286965,5.286193563825153,1.0023654642223536,1.5596565756752105,1.5596565756752105
gate_c_v9_size12m,gate_c_v9_targeted,gate_c_v9_size12m_breakout_size12m_dense_multistride_no_sparse_seed0,breakout,size12m,dense_multistride_no_sparse,0,3396.0,3396.0,3312.12890625,0.0,371.2337679862976,340.7375569343567,0.0,711.9713249206543,0.35557110204713965,4.336889956787083,1.004139562389119,1.2795708022065313,1.2795708022065313
