game,seed,partial_or_complete,source,source_file,x_axis_agent_actions,x_axis_frames,eval_return_mean,eval_return_std,eval_episodes,timestamp,notes
breakout,0,complete,metrics_jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,3891.0,15564.0,0.0,,1,,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,complete,metrics_jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,4081.0,16324.0,1.0,,1,,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,complete,metrics_jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,4249.0,16996.0,1.0,,1,,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,complete,metrics_jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,4491.0,17964.0,3.0,,1,,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,complete,metrics_jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,4677.0,18708.0,1.0,,1,,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,complete,metrics_jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,4833.0,19332.0,1.0,,1,,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,complete,metrics_jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,5107.0,20428.0,4.0,,1,,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,complete,metrics_jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,5259.0,21036.0,0.0,,1,,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,complete,metrics_jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,5418.0,21672.0,1.0,,1,,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,complete,metrics_jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,5579.0,22316.0,1.0,,1,,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,complete,metrics_jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,5793.0,23172.0,2.0,,1,,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,complete,metrics_jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,6051.0,24204.0,3.0,,1,,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,complete,metrics_jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,6185.0,24740.0,0.0,,1,,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,complete,metrics_jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,6396.0,25584.0,2.0,,1,,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,complete,metrics_jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,6557.0,26228.0,1.0,,1,,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
