action_repeat,agent_actions,agent_actions_per_second,checkpoint_path,checkpoint_reload,checkpoint_save,code_commit,condition,config_hash,expected_updates_per_agent_action,failure_reason,final_eval_episodes,finite,frames,method,model_size,no_oom,optimizer_updates,optimizer_updates_execute,pass,peak_memory_mb,periodic_eval_count,realized_updates_per_agent_action,resolved_env_id,resume_pass,seed,task,training_starts,update_rate_pass,updates_per_second,wall_clock_seconds
4,1630,3.337348808909787,/tmp/hts_gate_c_v8/gate_c_v8_c3/breakout/size12m/dreamer_anchor/seed_0/ckpt/20260611T180718F399340,True,True,e3f02248693a79dc8b0ebd62c93683888ddaccfe,gate_c_v8_c3,24590d0e5ec258ee,0.25,,2,True,6520,dreamer_anchor,size12m,True,136,True,True,,1,0.2504604051565378,atari100k_breakout,True,0,breakout,True,True,0.2784536429519822,488.412
4,1630,4.449274507047119,/tmp/hts_gate_c_v8/gate_c_v8_c3/breakout/size12m/hts_full/seed_0/ckpt/20260611T181324F445901,True,True,e3f02248693a79dc8b0ebd62c93683888ddaccfe,gate_c_v8_c3,7103837b2d430b21,0.25,,2,True,6520,hts_full,size12m,True,136,True,True,,1,0.2504604051565378,atari100k_breakout,True,0,breakout,True,True,0.3712278116309253,366.352
4,1630,5.483529419374942,/tmp/hts_gate_c_v8/gate_c_v8_c3/breakout/size12m/larger_flat_param/seed_0/ckpt/20260611T181821F861400,True,True,e3f02248693a79dc8b0ebd62c93683888ddaccfe,gate_c_v8_c3,c154f44b8935300a,0.25,,2,True,6520,larger_flat_param,size12m,True,136,True,True,,1,0.2504604051565378,atari100k_breakout,True,0,breakout,True,True,0.4575214730276025,297.254
4,1630,4.519092578132445,/tmp/hts_gate_c_v8/gate_c_v8_c3/breakout/size12m/dense_multistride_no_sparse/seed_0/ckpt/20260611T182422F559017,True,True,e3f02248693a79dc8b0ebd62c93683888ddaccfe,gate_c_v8_c3,65b7d0610d0f7c35,0.25,,2,True,6520,dense_multistride_no_sparse,size12m,True,136,True,True,,1,0.2504604051565378,atari100k_breakout,True,0,breakout,True,True,0.3770531230834432,360.692
